,0
0,UPDATE 1-EU regulator backs use of Merck's viral infection drug
1,Merck Receives Positive EU CHMP Opinion for PREVYMIS® for Prevention of CMV Disease in High-Risk Adult Kidney Transplant Recipients and Extended 200-Day Dosing in Adult HSCT Recipients at Risk for Late CMV Infection and Disease
2,UPDATE 3-Merck's Keytruda gets FDA nod for expanded use in lung cancer
3,"FDA Approves KEYTRUDA® (pembrolizumab) for Treatment of Patients With Resectable (T≥4 cm or N+) NSCLC in Combination With Chemotherapy as Neoadjuvant Treatment, Then Continued as a Single Agent as Adjuvant Treatment After Surgery"
4,CHMP Endorses Merck's (MRK) Keytruda Expansion in Gastric Cancer
5,"Is Merck & Co., Inc. (NYSE:MRK) Trading At A 48% Discount?"
6,European Commission Approves KEYTRUDA® (pembrolizumab) as Adjuvant Treatment for Adults With Non-Small Cell Lung Cancer at High Risk of Recurrence Following Complete Resection and Platinum-Based Chemotherapy
7,Merck to open £1bn London research centre with plea for government support of industry
8,"Merck Receives Positive EU CHMP Opinion for KEYTRUDA® (pembrolizumab) Plus Chemotherapy as First-Line Treatment for HER2-Negative Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma
Expressing PD-L1 (CPS ≥1)"
9,(MRK) Rises As Market Takes a Dip: Key Facts
