,0
0,'I’ve never felt more optimistic' about Goldman Sachs: CEO Solomon
1,Bank of America profit rises 10%Yahoo Finance
2,"Earnings preview: Tesla, Netflix, big banks among reports to watchYahoo Finance Video"
3,Citi banker fired over meal loses wrongful termination lawsuit
4,Banker who got into double trouble for claiming 2 meals on expenses loses UK lawsuit over firingAssociated Press Finance
5,"A banker was fired after trying to expense 2 sandwiches, 2 pastas, and 2 coffees, and saying he ate everything himself — before later admitting he shared them with his partnerBusiness Insider"
6,Bondholdings Become Less of a Burden at Bank of America and Other Big Banks
7,"JPMorgan, Citi, & Wells Fargo Just Sent a Message: Buy Bank Stocks"
8,Citigroup Announces Full Redemption of Series K Preferred Stock
9,Citi Treasurer Mike Verdeschi to Depart After 33 Years at Bank
10,Bank execs warn of risks despite solid earnings beats
11,Bank earnings: Could credit quality be this quarter's smoking gun?
