Ticker,Sentiment Score
DUK,0.6292500000000001
ULTA,0.5701333333333333
BBY,0.57012
HUM,0.5153916666666667
FANG,0.5053071428571428
RL,0.46737499999999993
CMS,0.4591428571428572
HII,0.45292000000000004
KLAC,0.44906000000000007
APD,0.4381166666666667
SHW,0.4372555555555555
ZTS,0.40018333333333334
WEC,0.39976
DTE,0.39957857142857145
NTRS,0.3864875
VRTX,0.3855071428571429
ACGL,0.3855055555555555
CDW,0.3831
WMB,0.3812166666666667
BKNG,0.37334
ACN,0.37015000000000003
CF,0.36977499999999996
LW,0.36761666666666665
GE,0.365925
COR,0.36468
DRI,0.3644142857142857
KR,0.36109166666666664
GEN,0.36083
KEYS,0.35945
MOH,0.35914285714285715
WRB,0.3576
TPR,0.35699000000000003
SBAC,0.3528142857142858
APH,0.34639000000000003
MDLZ,0.3462
OKE,0.3461083333333333
URI,0.34558333333333335
AZO,0.3447642857142857
DVN,0.3441166666666666
LIN,0.34265
CEG,0.34175000000000005
TRMB,0.34037
HSIC,0.3393428571428571
ANSS,0.3332
NTAP,0.33263000000000004
OXY,0.32995
EOG,0.32612499999999994
NOW,0.32583125
LNT,0.32462
ALLE,0.31862
PEP,0.31632000000000005
HD,0.31455000000000005
PPL,0.31439000000000006
STZ,0.3142083333333333
ATO,0.314
QRVO,0.313625
ROL,0.31142000000000003
KMI,0.3105785714285715
ES,0.3103916666666667
K,0.30937000000000003
CPT,0.30191
GWW,0.30055
FICO,0.2994
KHC,0.29923333333333335
UPS,0.298325
PEG,0.29636999999999997
AEE,0.2961416666666667
CNP,0.29557
CHD,0.29344285714285717
AMAT,0.29212142857142853
XEL,0.29195
ETR,0.291625
MSCI,0.2908642857142857
LMT,0.28880000000000006
NI,0.28789
TMUS,0.28374
FRT,0.28246000000000004
TRGP,0.28151
MRO,0.28117857142857144
AIG,0.2803375
AVB,0.279175
NXPI,0.27902
CTRA,0.27888333333333337
EXC,0.27810999999999997
EQT,0.27757499999999996
AME,0.27504
FDX,0.27382500000000004
GRMN,0.27311
ADSK,0.27231000000000005
META,0.2717833333333333
PAYX,0.26985833333333337
ESS,0.2697
GEHC,0.26758
TYL,0.267125
EPAM,0.26559
PXD,0.26498571428571427
GPN,0.26382
